,Unnamed: 0,movie_id,vote_average,genres,cast,crew,title
0,0,19995,7.2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{397312, 1180936, 1145098, 1186027, 103259, 30485, 236696, 983705, 33305, 60656, 33311, 83105, 1048610, 584868, 98215, 98216, 154153, 42286, 42288, 91443, 1207287, 68278, 1207288, 1019578, 1207227, 147898, 1207289, 1062463, 107969, 1207290, 65731, 1207236, 1207291, 1158600, 169676, 42317, 173391, 1207247, 95697, 1207248, 1207249, 10964, 1207250, 1207253, 1207251, 1207252, 1207254, 1207257, 1207259, 54492, 10205, 1207262, 59231, 1207263, 1207264, 1207265, 1207266, 1207267, 1207268, 143206, 1207269, 1207270, 215913, 1207271, 32747, 1771, 15853, 986734, 17647, 1207272, 1207273, 89714, 8691, 1207274, 1207276, 1207278, 1207275, 1207280, 1207281, 1207282, 1207283, 1207292, 1201399}","{72201, 14350, 33302, 33303, 93214, 6690, 1339441, 1394750, 1071680, 959555, 7236, 1394755, 1395269, 1400906, 1391692, 1391695, 1447503, 1452643, 1447524, 1394286, 89714, 1376887, 1376888, 1376889, 1376890, 1376891, 1376892, 1271932, 1376893, 1376895, 1376897, 1376898, 1376899, 1376901, 1376902, 1376903, 1206410, 1376909, 1418381, 2710, 236696, 1457305, 1202850, 1466035, 1438901, 1721, 1398970, 1729, 92359, 6347, 6878, 6883, 1352422, 1360103, 1262, 122607, 1352962, 1394953, 17675, 1357070, 1357071, 1177364, 956198, 42281, 42288, 20294, 58188, 8527, 8529, 1032536, 18265, 1234266, 12653, 1310064, 1016177, 1453938, 1336191, 1330561, 900, 1330567, 1330570, 29067, 1330574, 9618, 1394070, 1319844, 1426854, 1621932, 957874, 1327028, 1401784, 1401785, 1401786, 1401787, 1204668, 1401788, 1401789, 1401790, 1401791, 957889, 1401792, 1401793, 1401794, 1401795, 1401796, 1401799, 1401800, 1401801, 1447362, 1401803, 1401804, 1401805, 1401806, 1401807, 1401808, 1394129, 1401809, 1401810, 1401812, 1483220, 1401814, 1401815, 1401816, 1483221, 1483222, 1483223, 1483224, 1483225, 1483226, 8159, 8160, 1483227, 1483228, 8163, 1483229, 1483230, 1483231, 1483232, 1483233, 132585, 1483234, 496, 132596, 58871, 113145, 132604}",Avatar
1,1,285,6.9,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]","{2440, 2441, 2449, 2450, 2452, 1430, 939, 2603, 1709, 1710, 1711, 1713, 1714, 1715, 70577, 22075, 4030, 4031, 21700, 61259, 1619, 85, 1224149, 429401, 33500, 1123, 1640, 114, 116, 1056117, 118, 2038, 378}","{770, 146439, 2444, 2445, 2446, 2447, 2448, 5132, 1336716, 1344278, 1399327, 1400738, 1368867, 2215, 1704, 1705, 1706, 553, 947, 1368884, 1721, 1722, 406204, 4032, 4033, 4034, 1226, 1395290, 3311, 1534197, 120, 1259516}",Pirates of the Caribbean: At World's End
2,2,206647,6.3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]","{1168129, 1599239, 1599241, 48393, 1599245, 1599247, 1436816, 929937, 1599251, 1599252, 1599253, 1599254, 1599255, 89624, 230681, 1599256, 1599257, 123548, 139549, 983710, 1599258, 1599259, 1599260, 1599261, 1599262, 1599263, 1599264, 1599265, 1599266, 17064, 1599267, 543530, 1599268, 1599269, 14637, 1599270, 74415, 1599271, 1599272, 1599275, 1599276, 1599277, 1599278, 1599279, 27319, 1129783, 121529, 1474616, 1102369, 122556, 5309, 2244, 1247684, 1477143, 229320, 1545546, 1545547, 8784, 578512, 1654739, 226388, 124628, 1093974, 125660, 5469, 1437333, 87265, 1186597, 1682535, 1682536, 1725801, 1599280, 28782, 30446, 1381616, 1299312, 1404403, 1363060, 2038, 1562103, 1385592, 48377, 1372694}","{64000, 1551872, 1551874, 11268, 1338372, 1099281, 1403411, 1551892, 1392661, 1551893, 1551894, 1551896, 1551897, 1551898, 1551899, 1582109, 10782, 10783, 1510431, 1551902, 1551904, 1551906, 1551907, 1551908, 1551909, 39, 1551910, 1551911, 1551913, 1551914, 69678, 1389614, 1425971, 1399862, 1345595, 1296445, 986687, 1391691, 1425484, 1392718, 8784, 1425488, 1477203, 81517, 1392246, 1548406, 10876, 9856, 4248, 153, 10907, 74401, 1305251, 1459878, 1029804, 1545912, 1545913, 1459899, 8384, 1447617, 77511, 1026247, 1358025, 1342669, 1459925, 1470167, 23774, 1377503, 1458416, 979698, 1335539, 1319160, 1411323, 10496, 1472773, 1545995, 36108, 239885, 1409821, 1399071, 1401631, 1401126, 1494824, 1341741, 1550637, 1404212, 1404217, 1405241, 1401147, 1512767, 3904, 1398089, 1024842, 1398100, 1404244, 1553236, 1442137, 21339, 1388897, 1408363, 7538, 1315700, 40827, 66941, 23425, 1338241, 1483141, 1439128, 1551770, 61851, 1551771, 1551772, 1551773, 1551774, 1551775, 1551777, 1341858, 932, 1428902, 10666, 14764, 14765, 1551789, 1551791, 1551796, 1480629, 1551797, 1551798, 1551800, 1551801, 1551802, 1551803, 1551804, 1551807, 1551809, 1551810, 23491, 1551811, 1367493, 1394117, 1551812, 1551813, 1414096, 1392083, 937946, 11227, 1087452, 1415157, 1118711, 1546747}",Spectre
3,3,49026,7.6,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{21505, 53252, 1172491, 77335, 535, 1574936, 539, 100891, 1505308, 1580574, 1480223, 1334307, 1334308, 1334309, 1163300, 1264686, 24627, 93752, 22075, 64, 211521, 49735, 1446471, 70225, 93778, 127060, 171606, 1188950, 127063, 1298014, 125025, 1451618, 8293, 1359461, 40039, 20582, 32363, 224365, 55411, 1502323, 102516, 1240191, 31362, 1075845, 159879, 24202, 1205900, 1525392, 1429650, 557202, 550549, 1241239, 1244314, 1066138, 1553053, 1536670, 1378466, 15011, 1354413, 1383091, 306870, 1225911, 1010873, 21182, 192, 1301187, 1417415, 1509064, 853194, 1521872, 1473749, 141014, 51930, 1406682, 6365, 1286878, 16607, 1388256, 1633514, 39659, 36594, 1454322, 1513716, 1473276, 1218818, 1372419, 565508, 1116933, 1205751, 1343746, 84754, 928532, 1813, 158484, 1509148, 1583389, 1226016, 1085730, 1098036, 3894, 3895, 3896, 572221, 21316, 83271, 1386824, 1673036, 1343309, 1215314, 10582, 95577, 1355615, 1240417, 71010, 1364324, 1167718, 105832, 1269611, 1283949, 1205623, 1403768, 1169299, 1205141, 1377686, 1465242, 1452954, 1553307, 204191, 9632, 145313, 21416, 941, 1344943, 139188, 1174970, 1524158, 1480128, 10689, 1480130, 54211, 16841, 8654, 142290, 1480150, 1365976, 2524, 1349600, 1553377, 123875, 122339, 1576421, 26088, 24045, 98804, 2037, 20469, 1205749, 8191}","{1034754, 525, 1340941, 527, 969743, 1551373, 1509394, 1509396, 1399323, 75804, 1322015, 1391648, 1403424, 1403427, 230436, 1327144, 1427499, 556, 559, 561, 204339, 1483827, 1397823, 1550400, 1025090, 1399876, 92231, 1566280, 1018958, 1348686, 1555027, 1155668, 1440853, 1046614, 1412185, 1417820, 1417821, 1417822, 1417823, 62560, 1417824, 1417825, 1417826, 1417827, 1417828, 1417829, 1417830, 1417831, 1417832, 1417833, 1417834, 1417835, 1417836, 1417837, 1417838, 1417839, 1417840, 1417841, 1417842, 1417843, 1417844, 1417845, 1417846, 1417847, 1417848, 1535095, 1535096, 1535102, 1622657, 1634437, 1531529, 1463954, 1301652, 1525908, 1402008, 1546907, 1468581, 1552549, 1399463, 1468589, 202930, 1417396, 122549, 1417397, 1417398, 40120, 1417399, 1417400, 1417403, 1417406, 1417407, 1417408, 1417409, 1417410, 1417411, 1417412, 10949, 1061061, 10951, 1106629, 1417413, 1417414, 1417415, 1417416, 1417417, 1417418, 1417419, 1544394, 1544395, 3794, 1372882, 1549015, 1402079, 1411808, 57569, 1532610, 1549026, 1358564, 1395430, 1393387, 1395435, 1532612, 1532613, 1548530, 113913, 1357062, 9991, 12039, 1116937, 1329415, 1355530, 1357066, 17677, 1357070, 1357064, 1571601, 81687, 282, 1399071, 1409824, 1270053, 1417514, 1417515, 1417516, 1417517, 35630, 1050930, 3893, 3904, 1319744, 1404739, 1416005, 1564997, 1398089, 142157, 1395030, 1395032, 932186, 1341786, 1408347, 9568, 114017, 1638257, 1329527, 138618, 1644412, 1336192, 1336193, 1394050, 1550725, 932748, 1455503, 61329, 1378726, 1550248, 14762, 1516458, 1549741, 1378222, 68016, 947, 1415606, 1378231, 54211, 31172, 1377222, 1378246, 1384390, 1392587, 1045964, 1367508, 1389526, 1401814, 1554393, 10714, 1341403, 15327, 15328, 52193, 1413089, 1554915, 1434599, 1554921, 1554924, 1554925, 1554926, 1554931, 550900, 1415157, 1644543}",The Dark Knight Rises
4,4,49529,6.1,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{1721985, 62082, 17287, 1721992, 17419, 6416, 1722006, 2206, 1518112, 2983, 5293, 21044, 65716, 1390394, 1724736, 1367241, 57675, 8785, 130129, 19159, 118617, 205278, 1844319, 60900, 89830, 218345, 17648}","{1034754, 1034755, 1425411, 1550851, 7, 1378828, 969743, 1613336, 2073, 1536539, 1123360, 1414177, 238120, 61996, 72752, 29233, 72753, 1339450, 986687, 1775681, 1319490, 1775682, 1775687, 1775688, 1775689, 1775690, 1775691, 1775692, 1397837, 1775693, 28241, 1775701, 1775702, 1775704, 1775707, 1546844, 12895, 12897, 1775718, 1775721, 1775723, 1412205, 1421936, 1376901, 1813644, 1447571, 1171098, 15017, 1399467, 1430188, 67758, 126638, 1710258, 1399475, 1417396, 406204, 7879, 39624, 1458894, 34513, 1400535, 8412, 1409757, 1395430, 1395435, 1081073, 1316599, 1411320, 1335553, 1374469, 12039, 91912, 17675, 17677, 1357070, 1424151, 1390367, 1415464, 6958, 1388850, 105780, 1390388, 1549655, 1697623, 1761112, 51557, 1530220, 138617, 1408379, 1661321, 1561994, 1414539, 1414540, 1418124, 1750922, 528783, 1441176, 3996, 1658269, 23454, 1640350, 15776, 122274, 1428901, 1532325, 1428905, 14762, 1218986, 91055, 1428911, 1401784, 64449, 1551810, 1367497, 1121742, 1394129, 8158, 15327, 8166, 490, 967148, 18925, 1686002, 15347, 15348, 1055222, 15354, 1403388, 1334782}",John Carter
5,5,559,5.9,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]","{570374, 1639432, 53257, 1246221, 1340943, 1610271, 1781288, 1739821, 1781297, 1781298, 1781299, 1781300, 18997, 18998, 18999, 1781301, 1781302, 1781303, 1781304, 1781307, 1781309, 1781310, 1781311, 1781308, 9281, 1781312, 1781313, 1451076, 1781318, 60490, 1781325, 1781326, 454223, 552526, 1781327, 1781328, 1653331, 1781329, 1781330, 1781331, 1781332, 1781333, 1781334, 163930, 1614425, 99932, 11357, 66653, 98396, 1781344, 1781345, 1781346, 1781347, 20580, 1781348, 20582, 1781349, 1781350, 1781351, 232042, 173163, 1781352, 1781353, 1781354, 1781355, 1781356, 1781358, 1781359, 1781360, 1781361, 118389, 1781362, 1781365, 1781366, 1781368, 1781371, 1778304, 111243, 1422991, 1225878, 1344665, 17051, 17052, 105632, 106147, 20645, 1752230, 2219, 5293, 205, 19152, 19153, 19154, 19155, 52946, 19159, 60127, 159456, 1454306, 105701, 1226471, 1509622, 1691382, 1697017, 1367833, 1735986, 1656631, 1316667, 1435965, 1446719, 2368, 59206, 92486, 233298, 1496942, 1209717, 19326, 5502, 1368459, 116627, 1636759, 193946, 6585, 1178562, 7624, 2505, 113608, 1781194, 7628, 567242, 1781199, 1292243, 1781205, 1480150, 1781217, 1781221, 78311, 558055, 11766, 9207, 175606, 11769, 211964}","{1781376, 66689, 1400065, 1781378, 1781379, 1781381, 1781382, 6410, 1533708, 14349, 13586, 11411, 1553559, 38939, 963355, 1386908, 1451676, 7712, 1684384, 1735078, 1735079, 1339433, 1339436, 1378224, 1227450, 7623, 7624, 7625, 10570, 7627, 7626, 7628, 7630, 7629, 1339468, 1393226, 19155, 19156, 19157, 19158, 1172443, 1360094, 10850, 12770, 1614178, 1395435, 1377133, 1648111, 1357047, 13304, 11386, 9341, 1781374, 1392895}",Spider-Man 3
6,6,38757,7.4,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]","{2372, 121830, 61958, 69899, 4175, 18, 76595, 22132, 2517, 1219029, 16855, 1273208, 10460}","{61958, 1381896, 1443211, 1210381, 1451279, 83091, 15892, 1461397, 1578645, 1461399, 1368856, 1554457, 1615775, 1615776, 1615777, 1615778, 1464355, 56612, 1615779, 1615780, 1424167, 12072, 1464361, 1615781, 1615782, 1615783, 1408301, 1017262, 1615784, 1615785, 1615786, 1615787, 76595, 1291315, 1615788, 1615789, 1615790, 1615791, 1615792, 1615793, 1447483, 1615794, 1615795, 1615797, 1615799, 1615800, 1615802, 1615796, 1615803, 15813, 1367494, 7879, 5448, 1123657, 1447497, 1447499, 1763017, 139474, 8020, 38748, 1552863, 928608, 112609, 1552865, 61414, 121830, 1447400, 1281387, 65644, 61422, 137198, 1470064, 1461361, 953331, 1461363, 1461364}",Tangled
7,7,99861,7.3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{1405570, 1405571, 1265796, 1760898, 30086, 1760899, 1760900, 6162, 53650, 71189, 1015829, 3223, 1817, 62105, 1394333, 1196961, 39459, 27428, 3491, 1504934, 1029031, 1367843, 1371439, 1333, 2231, 1590327, 1401531, 550843, 16828, 17604, 17605, 1171654, 74568, 7624, 1709130, 1665609, 6092, 1583054, 1480144, 16851, 1760890, 1760858, 1760859, 1760860, 1245, 1429470, 1760864, 1760865, 1760866, 1760867, 1760868, 1760869, 103, 1896, 1640, 1264233, 1760872, 13548, 1760871, 1756778, 1760879, 43373, 1760881, 1760882, 1760884, 7030, 1760886, 1760888, 1146, 1760891, 1760892, 1760893}","{900, 1376901, 113672, 113674, 113675, 1104780, 983309, 1149583, 22161, 1458578, 531, 1334420, 1412756, 1417983, 6041, 1394331, 1400092, 1510429, 1447326, 1510430, 1510431, 1380002, 1322147, 1510438, 1510439, 1510440, 1510441, 15277, 1414189, 18866, 1117747, 1428916, 1428917, 1327030, 1339446, 1388855, 1456696, 1425978, 7232, 1388865, 1494209, 57027, 1051971, 1456835, 7624, 1351240, 1235786, 13009, 1477203, 1018965, 1018073, 8410, 12891, 32349, 1388894, 1512798, 1388897, 10850, 1388898, 1457635, 1428837, 35176, 1338477, 1439726, 1326451, 1392246, 1424630, 1403641, 1326458, 1326460, 8703}",Avengers: Age of Ultron
8,8,767,7.4,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]","{1283, 388, 1923, 20999, 52888, 5658, 234919, 234922, 234923, 11180, 234925, 234926, 234924, 11184, 234929, 9138, 234928, 234927, 234933, 234934, 568374, 234930, 202032, 568378, 60348, 174398, 956224, 89387, 11207, 96841, 11212, 140367, 140368, 96851, 4566, 477, 10978, 964834, 10980, 3300, 1796454, 9191, 10988, 10989, 10990, 10991, 10993, 1114487, 15737}","{1568519, 1473175, 11295, 11296, 1551777, 89383, 89384, 89385, 89386, 1393448, 41289, 1408843, 65614, 11343, 11344, 11345, 5331, 10966, 10967, 10968, 10710, 11225, 11227, 89320, 1389548, 5491, 2423}",Harry Potter and the Half-Blood Prince
9,9,209112,5.7,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","{1645569, 1696262, 1031686, 1696264, 90633, 1596937, 1696268, 1147413, 1077782, 1729054, 1729055, 70177, 130081, 16940, 1334323, 9273, 132157, 74312, 1190987, 1227867, 1636956, 1236584, 1594986, 1682540, 1648751, 1018992, 134774, 1141368, 20089, 1622651, 1892479, 1272969, 1272970, 1514160, 1452211, 87220, 44735, 47296, 1393349, 853194, 1019098, 1695971, 1289444, 56556, 79086, 1505007, 73968, 1695987, 1695988, 1269, 156405, 1695990, 9464, 1695991, 1695992, 1597947, 18686, 104195, 91403, 62220, 1696013, 1494289, 1696018, 1696019, 1313559, 17178, 1691930, 1217309, 1691935, 1545503, 1007391, 1561376, 1696036, 1696037, 1691940, 1696038, 1691945, 1691946, 1561391, 1201979, 1377087, 1691967, 2882, 1691970, 1691971, 1561416, 639817, 53066, 1511243, 1561419, 1691981, 1691982, 335, 1467216, 1691983, 1691986, 1691987, 1106260, 99166, 1000800, 59233, 1188194, 74595, 19300, 1283943, 1395050, 1189226, 880, 1395056, 162169, 1692027, 76674, 1692036, 3977, 117642, 1692048, 1692050, 87443, 87447, 2975, 550307, 208296, 17832, 1390506, 165293, 1374130, 1156024, 12219, 1548735, 1636801, 1424325, 1685460, 1471446, 8666, 1696221, 1696222, 1696223, 1696226, 1675748, 204261, 1696230, 1696231, 1062375, 1696234, 146412, 146413, 1696236, 1696238, 1214961, 1696241, 1696251, 1574911}","{1305602, 1494535, 1616392, 1460748, 525, 112656, 1637395, 1403415, 1322016, 20007, 20008, 1569322, 556, 1399862, 7235, 1399875, 1394760, 1394767, 1781335, 1781336, 131680, 1342054, 13930, 66693, 1552521, 1418382, 1402004, 1423005, 105643, 1398958, 1457327, 484529, 1484474, 1532605, 158916, 10949, 10951, 17610, 3794, 6878, 1428208, 1594611, 2293, 1409270, 60665, 1577213, 1428226, 62723, 1352968, 6923, 5392, 282, 1399068, 1394974, 1368864, 1408294, 1660720, 1368884, 3893, 78135, 1406780, 1367362, 1459033, 1439088, 15217, 1483635, 15226, 3964, 17284, 1413508, 2953, 79242, 79243, 1661321, 930189, 1378701, 1661322, 1661324, 65937, 198034, 1661325, 1661326, 1661327, 1661331, 113051, 107420, 6051, 229801, 68016, 947, 113075, 1621454, 1661395, 1661396, 1547221, 1661397, 1661400, 1172441, 1661402, 1661403, 1661417, 1661418, 1661419, 1661421, 1661423, 211962, 56827, 1463804, 1403389}",Batman v Superman: Dawn of Justice
